heading,publisher,FirstNations,Migrantsandrefugees,Racialminorities,Religiousminorities,LGBTIQ,Women,Men,Children,Youngpeople,Olderpeople,Peoplelivinginpoverty,Homelesspeople,Peopleonwelfare,Unemployedorprecariouslyemployed,Workingclass,Peoplewithdisabilitiesorchronichealthconditions,Overweightorobesepeople,Peoplewithdrugproblems,Peoplewithgamblingproblems,Prisoners,Agedcareresidents,Generaldisadvantage,Peopleinregionalorremoteareas,Survivorsofdomesticviolence,Warveterans,Singleparents,GENDERANDSEXUALITY,INSTITUTIONALISEDPEOPLE,Food.Nutrition,Water,Shelter,Healthcare.Health,Education,Energy.Cookingfuel,Sanitation,Familyrelations,Clothing.Personalcare,Violence,Familyplanning,Environment,Voice,Timeuse,Work,Crime.criminaljustice,Protectingheritage,Addiction,Recognition,Negativeemotions,Governmentassistance,Accesstotechnology,Finance,Socialconnections,Childprotection,Objectification,Slavery,Visasandcitizenship,Humanrights,Cyclesofdisadvantage,inequality,Disadvantage.notfurtherdefined,Prejudiceanddiscrimination.general,Accesstoresources.notfurtherdefined,Diversity.notfurtherdefined,Inclusion.Exclusion.notfurtherdefined,Harmsandburdens,Fairness,Freedom.notfurtherdefined,Harmony,Poverty,Injustice,Segregation,Vulnerable,AmplifiesDisadvantagedVoice,DispargesDisadvantaged,RecognisesIntersectionality,ProvidesHumanExamples,FocusesOnSolutions
TWIGGY DESCRIBES AN AUSTRALIA WE DON’T KNOW,News Ltd.,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0.5,0
WEAK GLORIFIED IN OUR CULTURE,News Ltd.,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.166666667,1,0.5,0.5,0
"Clear, strong policies needed to take racism out of the game",West Australian Newspapers Limited,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.833333333,0,0,0.5,0.333333333
IR package favours business flexibility,Fairfax Media Management Pty Limited,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0.5,0,0.666666667
Public housing tenants must be heeded,Fairfax Media Management Pty Limited,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.833333333,0,0.5,1,0.666666667
The people demand refugees be helped,Fairfax Media Management Pty Limited,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,1,1
Curfew must offer plan for those with no choice,Fairfax Media Management Pty Limited,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,1,0.5,0.666666667
How to fill the tradie skills gap: women,Fairfax Media Management Pty Limited,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0.5,0,0.5
A blanket ban on phones in detention is unacceptable,Federal Capital Press of Australia Pty Ltd,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.166666667,0,0,0.5,0.666666667
It's time to stop demonising the social security system,Federal Capital Press of Australia Pty Ltd,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.166666667,0,0.5,0,1
